Order,Family,Species,ZooMS_taxon,COL1a2_978_990,COL1a2_604_618,COL1a2_502_519,COL1a2_889_906,COL1a2_889_906,COL1a2_175_192,COL1a2_292_309,COL1a2_625_648,COL1a2_625_653,COL1a2_658_687,COL1a2_454_483,COL1a2_757_789,COL1a2_10_42,COL1a2_10_42,COL1a2_520_555,COL1a2_520_555
Passeriformes,Acanthisittidae,Acanthisitta Chloris,rifleman,1252.6,1237.6,1578.8,1592.8,1608.8,1589.8,1609.8,2108.0,2466.2,2525.3,2777.3,2927.5,,,3156.5,3172.5
Accipitriformes,Accipitridae,Accipiter gentilis,Northern goshawk,1220.7,1221.6,1552.8,1578.8,1594.8,1603.8,1566.8,2108.0,2466.2,2511.3,2804.3,2913.5,3097.4,3113.4,3152.5,3168.5
Sturnidae,Passeriformes,Acridotheres tristis,common myna,1220.7,1221.6,1578.8,1578.8,1594.8,1603.8,1608.8,2108.0,2466.2,2511.3,2777.3,2927.5,3111.4,3127.4,3166.5,3182.5
Caprimulgiformes,Aegothelidae,Aegotheles Bennettii,Aegotheles Bennettii,1220.7,1251.6,1568.8,1564.8,1580.8,1603.8,1623.8,2135.0,2493.2,2499.2,2804.3,2913.5,3106.4,3122.4,3136.5,3152.5
Aegothelidae,Caprimulgiformes,Aegotheles albertisi,Aegotheles albertisi,1220.7,1237.6,1568.8,1564.8,1580.8,1603.8,1623.8,2135.0,2493.2,2499.2,2804.3,2913.5,3106.4,3122.4,3136.5,3152.5
Passeriformes,Icteridae,Agelaius Phoeniceus,Red-winged blackbird,1220.7,1221.6,1578.8,1564.8,1580.8,1603.8,1608.8,2108.0,2466.2,2511.3,2777.3,2927.5,3111.4,3127.4,3166.5,3182.5
Icteridae,Passeriformes,Agelaius tricolor,Tricolored blackbird,1220.7,1221.6,1578.8,1564.8,1580.8,1603.8,1608.8,2108.0,2466.2,2511.3,2777.3,2927.5,3111.4,3127.4,3166.5,3182.5
Alcidae,Charadriiformes,Alca torda,Razorbill,1220.7,1221.6,1568.8,1566.8,1582.8,1589.8,1623.8,2108.0,2466.2,2531.2,2777.3,2927.5,3106.4,3122.4,3180.5,3196.5
Psittaciformes,Psittacidae,Amazona Guildingii,Amazona Guildingii,1192.6,1221.6,1552.8,1564.8,1580.8,1612.8,1596.8,2135.0,2493.2,2509.3,2804.3,2927.5,3097.4,3113.4,3150.5,3166.5
Psittacidae,Psittaciformes,Amazona ochrocephala,Yellow-crowned parrot,1192.6,1221.6,1552.8,1564.8,1580.8,1612.8,1596.8,2135.0,2493.2,2509.3,2804.3,2927.5,3097.4,3113.4,3136.5,3152.5
Passeriformes,Passerellidae,Ammospiza Caudacuta,Ammospiza Caudacuta,1220.7,1221.6,1578.8,1564.8,1580.8,1603.8,1608.8,2108.0,2466.2,2541.3,2777.3,2927.5,3111.4,3127.4,3166.5,3182.5
