Order,Family,Species,ZooMS_taxon,COL1a1_508_520,COLa1_2_978_990,COLa1_2_978_990_16,COL1a2_484___499,COL1a2_502___519,COL1a2_292___309,COL1a2_793___816,COL1a2_454___483,COL1a1_586___618,COL1a1_586___618_16,COL1a2_757___789,COL1a2_757___789_16
Carnivora,Felidae,Acinonyx jubatus,Cheetah,1105.6,1207.6,1223.6,1453.7,1566.8,1593.8,2163.1,,2853.4,2869.4,2983.5,2999.5
Rodentia,Muridae,Acomys russatus,Golden spiny mouse,1105.6,1187.6,1203.6,1477.8,1554.8,1592.8,2147.1,,2911.4,2927.4,2973.5,2989.5
Carnivora,Ursidae,Ailuropoda melanoleuca,Giant panda,1105.6,1205.6,1221.6,1453.7,1566.8,1593.8,2147.1,,2853.4,2869.4,2957.5,2973.5
Dasyuromorphia,Dasyuridae,Antechinus flavipes,Yellow-footed marsupial mouse,1162.6,1159.6,1175.6,1453.7,1598.8,1709.8,2163.1,,2897.4,2913.4,2945.5,2961.5
Primates,Aotidae,Aotus nancymaae,Ma's night monkey,1105.6,1219.7,1235.6,1453.7,1580.8,1619.8,2115.1,,2883.4,2899.4,2957.5,2973.5
Rodentia,Muridae,Apodemus sylvaticus,European woodmouse,1105.6,1187.6,1203.6,1453.7,1566.8,1592.8,2143.2,,2925.4,2941.4,2943.5,2959.5
Chiroptera,Phyllostomidae,Artibeus jamaicensis,Jamaican fruit-eating bat,1105.6,1205.6,1221.6,1453.7,1608.8,1578.8,2119.1,,2883.4,2899.4,2957.5,2973.5
Rodentia,Muridae,Arvicanthis niloticus,African grass rat,1105.6,1187.6,1203.6,1453.7,1566.8,1592.8,2143.2,,2925.4,2941.4,2957.5,2973.5
Rodentia,Cricetidae,Arvicola amphibius,Eurasian water mole,1105.6,1187.6,1203.6,1453.7,1552.7,1592.8,2129.1,,2883.4,2899.4,3043.5,3059.5
Artiodactyla,Balaenopteridae,Balaenoptera acutorostrata,Common minke whale,1079.6,1189.6,1205.6,1441.7,1577.8,1652.8,2135.1,,2883.4,2899.4,3007.5,3023.5
Artiodactyla,Balaenopteridae,Balaenoptera musculus,Blue whale,1079.6,1189.6,1205.6,1453.7,1577.8,1652.8,2105.1,,2883.4,2899.4,3007.5,3023.5
Artiodactyla,Balaenopteridae,Balaenoptera ricei,Rice's whale,1079.6,1189.6,1205.6,1441.7,1577.8,1652.8,2135.1,,2883.4,2899.4,3007.5,3023.5
Artiodactyla,Bovidae,Bison bison bison,Bison bison bison,1105.6,1192.7,1208.7,1427.7,1580.8,1648.8,2131.1,,2853.4,2869.4,3017.5,3033.5
Artiodactyla,Bovidae,Bos indicus,Zebu,1105.6,1192.7,1208.7,1427.7,1580.8,1648.8,2131.1,,2853.4,2869.4,3017.5,3033.5
Artiodactyla,Bovidae,Bos indicus x Bos taurus,Hybrid cattle,1105.6,1192.7,1208.7,1427.7,1580.8,1648.8,2131.1,,2853.4,2869.4,3017.5,3033.5
Artiodactyla,Bovidae,Bos javanicus,Wild banteng,1105.6,1192.7,1208.7,1427.7,1580.8,1648.8,2131.1,,2853.4,2869.4,3017.5,3033.5
Artiodactyla,Bovidae,Bos mutus,wild yak,1105.6,1192.7,1208.7,1427.7,1580.8,1648.8,2131.1,,2853.4,2869.4,3017.5,3033.5
Artiodactyla,Bovidae,Bos taurus,Bovine,1105.6,1192.7,1208.7,1427.7,1580.8,1648.8,2131.1,,2853.4,2869.4,3017.5,3033.5
Artiodactyla,Bovidae,Bubalus bubalis,Domestic water buffalo,1105.6,1192.7,1208.7,1455.8,1580.8,1648.8,2131.1,,2853.4,2869.4,3059.5,3075.5
Artiodactyla,Bovidae,Bubalus carabanensis,Swamp type water buffalo,1105.6,1192.7,1208.7,1455.8,1580.8,1648.8,2131.1,,2853.4,2869.4,3059.5,3075.5
Artiodactyla,Bovidae,Budorcas taxicolor,Golden takin,1105.6,1180.6,1196.6,1427.7,1580.8,1648.8,2131.1,,2883.4,2899.4,3017.5,3033.5
Primates,Cebidae,Callithrix jacchus,White-tufted-ear marmoset,1105.6,1219.7,1235.6,1453.7,1580.8,1619.8,2115.1,,2883.4,2899.4,2957.5,2973.5
Carnivora,Otariidae,Callorhinus ursinus,Northern fur seal,1105.6,1205.6,1221.6,1453.7,1566.8,1639.8,2121.1,,2853.4,2869.4,2957.5,2973.5
Artiodactyla,Camelidae,Camelus bactrianus,Bactrian camel,1105.6,1221.6,,1443.7,1550.8,1634.8,2131.1,,2883.4,2899.4,2975.5,2991.5
Artiodactyla,Camelidae,Camelus dromedarius,Dromedary,1105.6,1221.6,,1453.7,1550.8,1634.8,2131.1,,2883.4,2899.4,2975.5,2991.5
Artiodactyla,Camelidae,Camelus ferus,Wild bactrian camel,1105.6,1205.6,1221.6,1443.7,1550.8,1634.8,2131.1,,2883.4,2899.4,2975.5,2991.5
Carnivora,Canidae,Canis lupus dingo,dingo,1105.6,1210.7,1226.6,1453.7,1566.8,1593.8,2131.1,,2853.4,2869.4,2983.5,2999.5
